Team_Name,Nation,Team_Rank,Race_Date,City,Country,Is_Present,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Price,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_3,Member_3_ID,Member_3_Elo,Member_3_Distance_Elo,Member_3_Distance_C_Elo,Member_3_Distance_F_Elo,Member_3_Sprint_Elo,Member_3_Sprint_C_Elo,Member_3_Sprint_F_Elo,Member_3_Classic_Elo,Member_3_Freestyle_Elo,Member_4,Member_4_ID,Member_4_Elo,Member_4_Distance_Elo,Member_4_Distance_C_Elo,Member_4_Distance_F_Elo,Member_4_Sprint_Elo,Member_4_Sprint_C_Elo,Member_4_Sprint_F_Elo,Member_4_Classic_Elo,Member_4_Freestyle_Elo
BRAZIL I,BRAZIL,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,661,3080050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITHUANIA I,LITHUANIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,1233,3780092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREECE I,GREECE,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,229,3230131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREAT BRITAIN I,GREAT BRITAIN,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,3284,3220058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIA I,RUSSIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,13595,201359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH MACEDONIA I,NORTH MACEDONIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,230,3750049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICELAND I,ICELAND,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,428,3250062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOPLES REPUBLIC OF CHINA I,PEOPLES REPUBLIC OF CHINA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,1109,132612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLOVENIA I,SLOVENIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,2372,101037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERBIA I,SERBIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONGOLIA I,MONGOLIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,218,201365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOREA I,KOREA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,425,171273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKEY I,TURKEY,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,233,171272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELARUS I,BELARUS,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,686,102480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN I,JAPAN,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,1572,102805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
