Date,City,Country,Event,HillSize,Distance,RaceType,MassStart,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,SJ_Pos,CC_Pos,Age,Exp
2019-02-09,Kandersteg,Switzerland,Saturday 9.Feb 2019,74,4,Individual,0,0,2019,20,L,16,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",11,17,15.42778918548939,11
2019-02-10,Kandersteg,Switzerland,Sunday 10.Feb 2019,72,2,Team,0,1,2019,21,L,9,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,2,9,9-2,9,15.430527036276523,12
2019-08-05,Klingenthal,Germany,Monday 5.Aug 2019,85,3,Individual,0,0,2020,1,L,26,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",12,30,15.912388774811772,13
2019-08-09,Bischofsgruen,Germany,Friday 9.Aug 2019,71,4,Individual,0,0,2020,2,L,17,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",7,22,15.9233401779603,14
2019-09-21,Val di Fiemme,Italy,Saturday 21.Sep 2019,106,5,Mass Start,1,0,2020,7,L,19,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",20,19,16.041067761806982,15
2019-09-22,Val di Fiemme,Italy,Sunday 22.Sep 2019,106,2.5,Individual,0,0,2020,8,L,17,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",16,19,16.043805612594113,16
2019-08-05,Klingenthal,Germany,Monday 5.Aug 2019,85,3,Individual,0,0,2020,1,L,27,Lucie Svobodova,Czechia,103,1985-12-21T00:00:00.000000,0,"",28,25,33.620807665982205,1
2019-08-09,Bischofsgruen,Germany,Friday 9.Aug 2019,71,4,Individual,0,0,2020,2,L,19,Lucie Svobodova,Czechia,103,1985-12-21T00:00:00.000000,0,"",20,18,33.63175906913073,2
2019-08-05,Klingenthal,Germany,Monday 5.Aug 2019,85,3,Individual,0,0,2020,1,L,28,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",17,29,14.277891854893909,1
2019-08-09,Bischofsgruen,Germany,Friday 9.Aug 2019,71,4,Individual,0,0,2020,2,L,15,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",15,14,14.288843258042437,2
2020-02-22,Villach,Austria,Saturday 22.Feb 2020,65,2,Individual,0,0,2020,20,L,3,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",6,3,14.82819986310746,3
2020-02-23,Villach,Austria,Sunday 23.Feb 2020,65,2,Team,0,1,2020,22,L,3,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,3,3,5-3,3,14.830937713894592,4
2020-10-17,Klingenthal,Germany,Saturday 17.Oct 2020,85,N/A,Individual,0,0,2021,1,L,14,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",16,16,15.4798083504449,5
2020-10-18,Klingenthal,Germany,Sunday 18.Oct 2020,85,N/A,Individual,0,0,2021,2,L,18,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",18,18,15.482546201232033,6
2020-12-19,Seefeld,Austria,Saturday 19.Dec 2020,109,N/A,Individual,0,0,2021,4,L,15,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",16,7,15.652292950034223,7
2020-12-20,Seefeld,Austria,Sunday 20.Dec 2020,109,N/A,Individual,0,0,2021,5,L,14,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",16,15,15.655030800821354,8
2021-01-22,Eisenerz,Austria,Friday 22.Jan 2021,109,N/A,Individual,0,0,2021,6,L,34,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",31,33,15.745379876796715,9
2021-01-23,Eisenerz,Austria,Saturday 23.Jan 2021,109,N/A,Individual,0,0,2021,7,L,30,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",31,17,15.748117727583846,10
2021-01-24,Eisenerz,Austria,Sunday 24.Jan 2021,109,N/A,Individual,0,0,2021,8,L,27,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",30,21,15.75085557837098,11
2021-03-13,Prémanon,France,Saturday 13.Mar 2021,90,N/A,Individual,0,0,2021,13,L,12,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",12,14,15.88227241615332,12
2021-08-10,Klingenthal,Germany,Tuesday 10.Aug 2021,85,3,Individual,0,0,2022,1,L,16,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",8,18,16.292950034223136,13
2021-08-14,Bischofsgruen,Germany,Saturday 14.Aug 2021,71,4,Individual,0,0,2022,2,L,7,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",9,7,16.303901437371664,14
2021-09-04,Villach,Austria,Saturday 4.Sep 2021,98,5,Individual,0,0,2022,6,L,18,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",17,20,16.361396303901437,15
2021-09-05,Villach,Austria,Sunday 5.Sep 2021,98,5,Individual,0,0,2022,7,L,21,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",20,22,16.364134154688568,16
2021-09-25,Tschagguns,Austria,Saturday 25.Sep 2021,108,5,Individual,0,0,2022,10,L,11,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",12,12,16.418891170431213,17
2021-09-26,Tschagguns,Austria,Sunday 26.Sep 2021,108,2.5,Individual,0,0,2022,11,L,9,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",8,11,16.421629021218344,18
2021-12-18,Seefeld,Austria,Saturday 18.Dec 2021,109,5,Individual,0,0,2022,19,L,12,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",13,7,16.648870636550306,19
2021-12-19,Seefeld,Austria,Sunday 19.Dec 2021,109,2.5,Individual,0,0,2022,20,L,12,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",13,9,16.65160848733744,20
2022-02-18,Eisenerz,Austria,Friday 18.Feb 2022,109,5,Individual,0,0,2022,29,L,32,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",34,32,16.818617385352496,21
2022-02-20,Eisenerz,Austria,Sunday 20.Feb 2022,109,5,Individual,0,0,2022,30,L,27,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",32,27,16.824093086926762,22
2022-03-12,Rastbüchl,Germany,Saturday 12.Mar 2022,78,5,Individual,0,0,2022,32,L,6,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",7,8,16.878850102669404,23
2022-03-13,Rastbüchl,Germany,Sunday 13.Mar 2022,78,2.5,Individual,0,0,2022,34,L,13,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",11,11,16.881587953456535,24
2022-09-17,Degenfeld,Germany,Saturday 17.Sep 2022,83,5,Individual,0,0,2023,6,L,7,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",9,12,17.39630390143737,25
2022-09-18,Degenfeld,Germany,Sunday 18.Sep 2022,83,2.5,Individual,0,0,2023,7,L,22,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",12,22,17.399041752224502,26
2022-09-24,Villach,Austria,Saturday 24.Sep 2022,98,5,Individual,0,0,2023,8,L,13,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",15,8,17.415468856947296,27
2022-09-25,Villach,Austria,Sunday 25.Sep 2022,98,2.5,Individual,0,0,2023,9,L,12,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",15,6,17.418206707734427,28
2023-01-24,Planica,Slovenia,European Youth Olympic Festival,102,4,Individual,0,0,2023,21,L,6,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",12,4,17.749486652977414,29
2023-02-11,Harrachov,Czechia,Saturday 11.Feb 2023,100,5,Individual,0,0,2023,25,L,14,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",15,6,17.79876796714579,30
2023-02-12,Harrachov,Czechia,Sunday 12.Feb 2023,100,2.5,Individual,0,0,2023,27,L,17,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",18,6,17.801505817932924,31
2023-02-18,Rena,Norway,Saturday 18.Feb 2023,109,1,Sprint,0,0,2023,29,L,17,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",16,13,17.817932922655714,32
2023-02-18,Rena,Norway,Saturday 18.Feb 2023,109,5,Individual,0,0,2023,30,L,16,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",15,12,17.817932922655714,33
2023-02-19,Rena,Norway,Sunday 19.Feb 2023,109,5,Individual,0,0,2023,31,L,12,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",12,10,17.820670773442846,34
2023-03-03,Eisenerz,Austria,Friday 3.Mar 2023,109,5,Individual,0,0,2023,33,L,21,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",23,19,17.853524982888434,35
2023-03-05,Eisenerz,Austria,Sunday 5.Mar 2023,109,5,Individual,0,0,2023,34,L,23,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",23,14,17.859000684462696,36
2023-03-11,Oberhof,Germany,Saturday 11.Mar 2023,100,5,Individual,0,0,2023,35,L,19,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",20,7,17.87542778918549,37
2023-03-12,Oberhof,Germany,Sunday 12.Mar 2023,100,2.5,Individual,0,0,2023,37,L,19,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",20,7,17.87816563997262,38
2024-01-19,Klingenthal,Germany,Friday 19.Jan 2024,85,5,Individual Compact,0,0,2024,19,L,17,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",23,15,18.73511293634497,39
2024-01-20,Klingenthal,Germany,Saturday 20.Jan 2024,85,5,Individual,0,0,2024,20,L,22,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",23,16,18.7378507871321,40
2024-01-21,Klingenthal,Germany,Sunday 21.Jan 2024,85,5,Individual,0,0,2024,21,L,18,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",25,12,18.740588637919235,41
2024-02-16,Eisenerz,Austria,Friday 16.Feb 2024,109,5,Individual,0,0,2024,32,L,19,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",20,17,18.811772758384667,42
2024-02-18,Eisenerz,Austria,Sunday 18.Feb 2024,109,5,Individual,0,0,2024,34,L,23,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",25,10,18.817248459958932,43
2024-09-07,Villach,Austria,Saturday 7.Sep 2024,98,5,Individual,0,0,2025,5,L,11,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",16,3,19.370294318959616,44
2024-09-08,Villach,Austria,Sunday 8.Sep 2024,98,2.5,Individual,0,0,2025,6,L,14,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",19,3,19.37303216974675,45
2024-12-21,Seefeld,Austria,Saturday 21.Dec 2024,98,5,Sprint,0,0,2025,13,L,11,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",16,"",19.657768651608485,46
2024-12-22,Seefeld,Austria,Sunday 22.Dec 2024,98,5,Individual,0,0,2025,14,L,15,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",19,5,19.66050650239562,47
2025-01-31,Lillehammer,Norway,Friday 31.Jan 2025,98,5,Individual,0,0,2025,25,L,14,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",13,13,19.770020533880903,48
2025-03-08,Oberhof,Germany,Saturday 8.Mar 2025,100,5,Mass Start,1,0,2025,37,L,11,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",14,12,19.868583162217657,49
2025-03-09,Oberhof,Germany,Sunday 9.Mar 2025,100,2.5,Individual,0,0,2025,38,L,10,Anja Rathgeb,Austria,104,2005-04-25T00:00:00.000000,0,"",11,9,19.871321013004792,50
2019-02-09,Kandersteg,Switzerland,Saturday 9.Feb 2019,74,2,Individual,0,0,2019,19,L,13,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",6,15,13.431895961670088,1
2019-02-10,Kandersteg,Switzerland,Sunday 10.Feb 2019,72,2,Team,0,1,2019,21,L,12,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,3,12,11-3,12,13.434633812457221,2
2019-08-05,Klingenthal,Germany,Monday 5.Aug 2019,85,3,Individual,0,0,2020,1,L,29,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",23,28,13.91649555099247,3
2019-08-09,Bischofsgruen,Germany,Friday 9.Aug 2019,71,4,Individual,0,0,2020,2,L,25,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",21,26,13.927446954140999,4
2020-02-22,Villach,Austria,Saturday 22.Feb 2020,65,2,Individual,0,0,2020,20,L,10,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",10,11,14.466803559206022,5
2020-02-23,Villach,Austria,Sunday 23.Feb 2020,65,2,Team,0,1,2020,22,L,9,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,1,9,9-1,9,14.469541409993155,6
2020-10-17,Klingenthal,Germany,Saturday 17.Oct 2020,85,N/A,Individual,0,0,2021,1,L,21,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",15,23,15.118412046543463,7
2020-10-18,Klingenthal,Germany,Sunday 18.Oct 2020,85,N/A,Individual,0,0,2021,2,L,20,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",22,25,15.121149897330595,8
2020-12-19,Seefeld,Austria,Saturday 19.Dec 2020,109,N/A,Individual,0,0,2021,4,L,17,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",9,21,15.290896646132785,9
2020-12-20,Seefeld,Austria,Sunday 20.Dec 2020,109,N/A,Individual,0,0,2021,5,L,18,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",10,21,15.293634496919918,10
2021-03-13,Prémanon,France,Saturday 13.Mar 2021,90,N/A,Individual,0,0,2021,13,L,9,Martina Zanitzer,Italy,105,2005-09-04T00:00:00.000000,0,"",2,18,15.520876112251882,11
2019-02-09,Kandersteg,Switzerland,Saturday 9.Feb 2019,74,2,Individual,0,0,2019,19,L,15,Gabriela Puskasova,Czechia,106,2004-01-01T00:00:00.000000,0,"",14,10,15.107460643394935,1
2019-02-10,Kandersteg,Switzerland,Sunday 10.Feb 2019,72,2,Team,0,1,2019,21,L,10,Gabriela Puskasova,Czechia,106,2004-01-01T00:00:00.000000,3,10,12-3,6,15.110198494182066,2
2019-08-05,Klingenthal,Germany,Monday 5.Aug 2019,85,3,Individual,0,0,2020,1,L,30,Gabriela Puskasova,Czechia,106,2004-01-01T00:00:00.000000,0,"",30,27,15.592060232717317,3
2019-08-09,Bischofsgruen,Germany,Friday 9.Aug 2019,71,4,Individual,0,0,2020,2,L,26,Gabriela Puskasova,Czechia,106,2004-01-01T00:00:00.000000,0,"",30,21,15.603011635865846,4
2019-02-09,Kandersteg,Switzerland,Saturday 9.Feb 2019,74,2,Individual,0,0,2019,19,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",2,4,13.64271047227926,1
2019-02-10,Kandersteg,Switzerland,Sunday 10.Feb 2019,72,2,Team,0,1,2019,21,L,7,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,2,7,6-2,8,13.645448323066393,2
2019-08-09,Bischofsgruen,Germany,Friday 9.Aug 2019,71,4,Individual,0,0,2020,2,L,6,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",3,11,14.13826146475017,3
2021-03-13,Prémanon,France,Saturday 13.Mar 2021,90,N/A,Individual,0,0,2021,13,L,10,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",10,12,15.731690622861054,4
2021-03-14,Prémanon,France,Sunday 14.Mar 2021,90,N/A,Individual,0,0,2021,15,L,5,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",5,5,15.734428473648187,5
2021-08-10,Klingenthal,Germany,Tuesday 10.Aug 2021,85,3,Individual,0,0,2022,1,L,1,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",3,2,16.142368240930868,6
2021-08-14,Bischofsgruen,Germany,Saturday 14.Aug 2021,71,4,Individual,0,0,2022,2,L,1,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",4,2,16.153319644079396,7
2021-09-12,Oberwiesenthal,Germany,Sunday 12.Sep 2021,106,2.5,Individual,0,0,2022,9,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",3,3,16.23271731690623,8
2021-12-18,Seefeld,Austria,Saturday 18.Dec 2021,109,5,Individual,0,0,2022,19,L,6,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",7,11,16.49828884325804,9
2022-01-15,Schonach,Germany,Saturday 15.Jan 2022,106,5,Individual,0,0,2022,22,L,9,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",5,14,16.57494866529774,10
2022-01-16,Schonach,Germany,Sunday 16.Jan 2022,106,2.5,Individual,0,0,2022,23,L,7,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",5,12,16.577686516084874,11
2022-03-22,Lahti,Finland,European Youth Olympic Festival,100,4,Individual,0,0,2022,36,L,5,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",5,9,16.75564681724846,12
2022-08-08,Klingenthal,Germany,Monday 8.Aug 2022,80,3,Individual,0,0,2023,1,L,16,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",3,16,17.136208076659823,13
2022-09-17,Degenfeld,Germany,Saturday 17.Sep 2022,83,5,Individual,0,0,2023,6,L,10,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",22,3,17.245722108145106,14
2022-09-18,Degenfeld,Germany,Sunday 18.Sep 2022,83,2.5,Individual,0,0,2023,7,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",17,1,17.248459958932237,15
2022-09-24,Villach,Austria,Saturday 24.Sep 2022,98,5,Individual,0,0,2023,8,L,7,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",13,2,17.26488706365503,16
2022-09-25,Villach,Austria,Sunday 25.Sep 2022,98,2.5,Individual,0,0,2023,9,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",9,2,17.267624914442163,17
2023-01-24,Planica,Slovenia,European Youth Olympic Festival,102,4,Individual,0,0,2023,21,L,1,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",1,3,17.598904859685145,18
2023-02-03,Whistler,Canada,Junior World Championship,104,5,Individual,0,0,2023,24,L,6,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",11,7,17.626283367556468,19
2023-02-18,Rena,Norway,Saturday 18.Feb 2023,109,1,Sprint,0,0,2023,29,L,1,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",3,3,17.66735112936345,21
2023-02-18,Rena,Norway,Saturday 18.Feb 2023,109,5,Individual,0,0,2023,30,L,8,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",9,11,17.66735112936345,20
2023-02-19,Rena,Norway,Sunday 19.Feb 2023,109,5,Individual,0,0,2023,31,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",5,5,17.67008898015058,22
2023-03-11,Oberhof,Germany,Saturday 11.Mar 2023,100,5,Individual,0,0,2023,35,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",5,3,17.724845995893222,23
2023-03-12,Oberhof,Germany,Sunday 12.Mar 2023,100,2.5,Individual,0,0,2023,37,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",3,8,17.727583846680357,24
2024-02-16,Eisenerz,Austria,Friday 16.Feb 2024,109,5,Individual,0,0,2024,32,L,11,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",1,23,18.661190965092402,25
2024-02-18,Eisenerz,Austria,Sunday 18.Feb 2024,109,5,Individual,0,0,2024,34,L,21,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",6,24,18.666666666666668,26
2024-12-21,Ramsau,Austria,World Cup,96,5,Individual Compact,0,0,2025,12,L,25,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",11,27,19.50718685831622,27
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,17,L,13,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",4,20,19.58384668035592,28
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,19,L,25,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",15,25,19.586584531143053,29
2025-01-24,Schonach,Germany,Friday 24.Jan 2025,100,5,Mass Start,1,0,2025,20,L,1,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",2,2,19.600273785078713,30
2025-01-25,Schonach,Germany,Saturday 25.Jan 2025,100,4,Individual Compact,0,0,2025,22,L,2,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",1,7,19.603011635865844,31
2025-02-13,Lake Placid NY,USA,Junior World Championship,100,4.5,Team Sprint,0,1,2025,33,L,3,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,4,3,2-4,7,19.655030800821354,32
2025-02-15,Lake Placid NY,USA,Junior World Championship,100,5,Individual,0,0,2025,34,L,3,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",3,12,19.66050650239562,33
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,35,L,17,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",12,23,19.693360711841205,34
2025-03-15,Holmenkollen,Norway,World Cup,134,5,Individual,0,0,2025,39,L,19,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",16,21,19.737166324435318,35
2025-03-16,Holmenkollen,Norway,World Cup,134,5,Individual Compact,0,0,2025,40,L,21,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",18,21,19.73990417522245,36
2025-08-27,Oberstdorf,Germany,Wednesday 27.Aug 2025,137,5,Individual Compact,0,0,2026,1,L,17,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",16,12,20.188911704312115,37
2025-08-30,Chaux-Neuve,France,Saturday 30.Aug 2025,118,5,Individual,0,0,2026,2,L,7,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",10,8,20.197125256673512,38
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,5,L,13,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",14,18,20.462696783025326,39
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,6,L,13,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",11,21,20.465434633812457,40
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,7,L,20,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",19,25,20.501026694045173,41
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,8,L,17,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",16,19,20.503764544832308,42
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,9,L,12,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",14,13,20.55852156057495,43
