"Team_Name","Nation","Team_Rank","Race_Date","City","Country","Race_Type","Distance","Is_Present","Race1_Prob","Team_Points","TeamMembers","Total_Elo","Avg_Elo","Total_Individual_Elo","Avg_Individual_Elo","Total_Sprint_Elo","Avg_Sprint_Elo","Total_Pursuit_Elo","Avg_Pursuit_Elo","Total_MassStart_Elo","Avg_MassStart_Elo","Member_1_Elo","Member_1_Individual_Elo","Member_1_Sprint_Elo","Member_1_Pursuit_Elo","Member_1_MassStart_Elo","Member_1","Member_1_ID","Member_2_Elo","Member_2_Individual_Elo","Member_2_Sprint_Elo","Member_2_Pursuit_Elo","Member_2_MassStart_Elo","Member_2","Member_2_ID","Member_3_Elo","Member_3_Individual_Elo","Member_3_Sprint_Elo","Member_3_Pursuit_Elo","Member_3_MassStart_Elo","Member_3","Member_3_ID","Member_4_Elo","Member_4_Individual_Elo","Member_4_Sprint_Elo","Member_4_Pursuit_Elo","Member_4_MassStart_Elo","Member_4","Member_4_ID","MemberIDs"
"Latvia","Latvia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Renars Birkentals,Andrejs Rastorgujevs,Rihards Lozbers,Edgars Mise",5333.10068933441,1333.2751723336,5450.2567950849,1362.56419877122,5364.43140728866,1341.10785182217,5026.07116860859,1256.51779215215,5179.01397159347,1294.75349289837,1503.15317354265,1433.82409086097,1499.86106320805,1183.64249720148,1272.67883358343,"Renars Birkentals",4452,1477.53147931621,1623.35792834902,1498.19588586593,1292.70964039119,1322.63628141419,"Andrejs Rastorgujevs",65,1232.31412472171,1273.24328349173,1223.6801048679,1288.09530273195,1294.84942829793,"Rihards Lozbers",5426,1120.10191175384,1119.83149238318,1142.69435334679,1261.62372828397,1288.84942829793,"Edgars Mise",4425,"4452,65,5426,4425"
"Lithuania","Lithuania",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Vytautas Strolia,Maksim Fomin,Nikita Cigak,Karol Dombrovski",5004.79216971117,1251.19804242779,5154.0118236924,1288.5029559231,4928.0206269624,1232.0051567406,5050.46834825751,1262.61708706438,5123.98695337265,1280.99673834316,1466.12138877806,1345.78684615013,1454.95953806277,1320.38137362496,1257.19099221458,"Vytautas Strolia",1164,1240.60154192212,1396.28719268496,1159.12511718959,1250.88689413369,1293.58224470487,"Maksim Fomin",3534,1177.72390883039,1190.91955392816,1191.62475552152,1294.4274716829,1300.00866885712,"Nikita Cigak",4951,1120.34533018059,1221.01823092915,1122.31121618852,1184.77260881597,1273.20504759608,"Karol Dombrovski",844,"1164,3534,4951,844"
"Norway","Norway",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Sturla Holm Lægreid,Johannes Dale-Skjevdal,Johan-Olav Botn,Martin Uldal",7223.76788881355,1805.94197220339,6428.42542262165,1607.10635565541,6794.19314319443,1698.54828579861,6143.69871981245,1535.92467995311,5445.46456963198,1361.366142408,1858.16216041883,1702.35266122777,1777.08689202085,1613.04397121053,1404.86251255989,"Sturla Holm Lægreid",2753,1836.86253637668,1595.14653254012,1736.68735958495,1580.77147170893,1367.03000651424,"Johannes Dale-Skjevdal",3027,1798.9257570186,1592.29366753771,1644.23341752579,1469.582900077,1357.79078413835,"Johan-Olav Botn",4479,1729.81743499944,1538.63256131605,1636.18547406283,1480.300376816,1315.78126641951,"Martin Uldal",4612,"2753,3027,4479,4612"
"Poland","Poland",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Konrad Badacz,Jan Gunka,Grzegorz Galica,Marcin Zawol",5386.45632014026,1346.61408003506,5100.6288936071,1275.15722340177,5385.35389478148,1346.33847369537,5015.86743623603,1253.96685905901,5119.07959119296,1279.76989779824,1497.1576541491,1393.44574037219,1483.10038025675,1257.87589160601,1284.67883358343,"Konrad Badacz",4730,1365.5956489542,1176.88887707383,1401.25279518351,1276.29137551727,1258.39682671662,"Jan Gunka",4559,1320.23778059371,1304.36491349421,1306.82716205337,1274.79657200599,1277.80901227793,"Grzegorz Galica",5077,1203.46523644325,1225.92936266687,1194.17355728785,1206.90359710676,1298.19491861498,"Marcin Zawol",4560,"4730,4559,5077,4560"
"Romania","Romania",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Dmitrii Shamaev,George Coltea,George Buta,Raul Flore",4794.23326854428,1198.55831713607,5108.07750257528,1277.01937564382,4660.42306336426,1165.10576584107,4874.14753648836,1218.53688412209,5139.29962324711,1284.82490581178,1314.51292754223,1471.35971331142,1218.27483746436,1214.79478579892,1257.67883358343,"Dmitrii Shamaev",1312,1241.81875454521,1257.17899750803,1233.75532207542,1212.18633389862,1298.31962612163,"George Coltea",3484,1150.35356528808,1232.53682078075,1143.73793924634,1189.15269055264,1289.91976243892,"George Buta",1015,1087.54802116876,1147.00197097509,1064.65496457815,1258.01372623818,1293.38140110315,"Raul Flore",1402,"1312,3484,1015,1402"
"Slovenia","Slovenia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Lovro Planko,Jakov Fak,Anton Vidmar,Miha Dovzan",5583.34883895777,1395.83720973944,5691.958473587,1422.98961839675,5697.15759093605,1424.28939773401,4953.1729376518,1238.29323441295,5171.56633285894,1292.89158321474,1457.32791831164,1428.26972618309,1493.18388004923,1195.49636930547,1283.1274077075,"Lovro Planko",3459,1448.98386139359,1518.01060530602,1480.78065663046,1373.69452764538,1336.01035438697,"Jakov Fak",19,1379.52267530043,1446.47683786029,1367.49842012177,1182.17287202493,1254.6031477071,"Anton Vidmar",1692,1297.51438395212,1299.2013042376,1355.6946341346,1201.80916867602,1297.82542305738,"Miha Dovzan",1098,"3459,19,1692,1098"
"Sweden","Sweden",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Martin Ponsiluoma,Sebastian Samuelsson,Jesper Nelin,Victor Brandt",6652.01502107895,1663.00375526974,5924.53717817226,1481.13429454307,6655.80837641,1663.9520941025,5883.64878540345,1470.91219635086,5242.95960396583,1310.73990099146,1780.10833273521,1568.70248759167,1719.45553795392,1576.33592922201,1322.95087951836,"Martin Ponsiluoma",1135,1738.70579843314,1414.64851527622,1778.87185635347,1616.17104854327,1354.4133641995,"Sebastian Samuelsson",1345,1615.91291750586,1528.40984920942,1663.36633041949,1387.37694201458,1272.84920637454,"Jesper Nelin",1266,1517.28797240474,1412.77632609496,1494.11465168312,1303.76486562358,1292.74615387343,"Victor Brandt",3526,"1135,1345,1266,3526"
"Switzerland","Switzerland",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Niklas Hartweg,Sebastian Stalder,Joscha Burkhalter,Jeremy Finello",5821.17683731326,1455.29420932831,5676.3350931928,1419.0837732982,5838.70481280199,1459.6762032005,5321.10044532795,1330.27511133199,5169.24675834975,1292.31168958744,1575.55214773317,1596.69549668384,1567.33854130075,1397.8334860451,1296.78239110243,"Niklas Hartweg",3521,1519.40589569048,1462.41745349282,1497.35148458267,1330.95600387276,1308.88048510874,"Sebastian Stalder",1873,1446.43852251183,1349.12715630359,1500.14948096085,1310.01882034519,1284.09051367124,"Joscha Burkhalter",1401,1279.78027137778,1268.09498671255,1273.86530595772,1282.2921350649,1279.49336846733,"Jeremy Finello",1200,"3521,1873,1401,1200"
"USA","USA",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Campbell Wright,Sean Doherty,Maxime Germain,Paul Schommer",5838.46195230411,1459.61548807603,5709.63095341361,1427.4077383534,5729.86308858196,1432.46577214549,5143.63679749656,1285.90919937414,5198.48142797864,1299.62035699466,1675.14584010316,1569.72692715404,1585.86912070253,1459.7121459747,1364.34207843516,"Campbell Wright",4498,1417.11640290643,1331.65008560584,1433.52668847455,1207.1993690683,1253.19543660887,"Sean Doherty",1073,1380.47130353901,1360.75464855882,1333.87464546053,1284.27900566012,1288.11252923304,"Maxime Germain",4448,1365.72840575551,1447.4992920949,1376.59263394435,1192.44627679343,1292.83138370157,"Paul Schommer",1932,"4498,1073,4448,1932"
"Ukraine","Ukraine",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Vitalii Mandzyn,Dmytro Pidruchnyi,Taras Lesiuk,Anton Dudchenko",5620.16485489599,1405.041213724,5457.710780131,1364.42769503275,5524.8055792273,1381.20139480682,5204.19082370648,1301.04770592662,5075.62851894502,1268.90712973625,1549.67479390334,1454.59568573784,1506.09724762392,1345.94043034229,1255.7427644033,"Vitalii Mandzyn",4760,1456.25897049755,1353.15830214364,1435.47845178527,1366.11760724561,1244.00056837056,"Dmytro Pidruchnyi",471,1316.14714675352,1375.89491804676,1260.27553837354,1227.71284876292,1288.18038674743,"Taras Lesiuk",1520,1298.08394374158,1274.06187420276,1322.95434144457,1264.41993735566,1287.70479942373,"Anton Dudchenko",1691,"4760,471,1520,1691"
