FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
DE FABIANI Francesco,Francesco De Fabiani,1496.0,Italy,True,False,False,257,1356.5500925926112,1379.5122613181566,1422.1117973152045,1368.8225278515192,1334.422929065084,1382.788627299354,1287.9630736598376,1400.560764983389,1318.0827328850664,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
LOVERA Victor,Victor Lovera,17106.0,France,True,False,False,242,1607.2458235702263,1598.9646181023677,1375.7599754995488,1526.3490869959787,1233.1667346381155,1231.3956037511944,1234.1987494727805,1376.482858769611,1569.1099341821025,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
GABRIELLI Giacomo,Giacomo Gabrielli,5181.0,Italy,True,False,False,233,1401.2931213102918,1248.9228499886449,1267.8803608274852,1270.7669308171771,1440.088976938673,1400.8832428015075,1369.5765324357617,1375.9519914058749,1317.515757569777,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
KALEV Christopher,Christopher Kalev,6469.0,Estonia,True,False,False,233,1332.7594769239845,1349.675111846707,1320.2966206739586,1330.3226318618445,1194.9561390899107,1182.6971316258448,1276.6389829092302,1148.1943542933643,1357.9528227257883,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
DAL FARRA Franco,Franco Dal Farra,8039.0,Argentina,True,False,False,233,1195.4604686993302,1198.7770261940057,1177.611184201604,1216.143197772639,1199.2868059544105,1155.926980933398,1242.4102047990968,1081.879073041718,1223.7368268514151,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
MIKAYELYAN Mikayel,Mikayel Mikayelyan,5226.0,Armenia,True,False,False,233,1137.6419862371138,1140.249941683384,1137.2482436483351,1181.9675683709916,1199.542464899078,1166.3637930350756,1262.631403868646,1126.1701461850932,1162.1716344753404,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
DRAHUN Dmytro,Dmytro Drahun,8058.0,Ukraine,True,False,False,233,1030.5040493516135,1063.843786473789,1146.4095331266667,1132.8732828267016,1159.802877280086,1145.097940436891,1272.423935958712,1044.3774118342951,1113.8205287125395,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
RUEESCH Jason,Jason Rüesch,2732.0,Switzerland,True,False,False,232,1512.2786668508936,1506.4688253307072,1412.7715835935878,1473.033874046003,1334.9949170139946,1228.6781238976073,1360.1125352745205,1416.998411508919,1539.6784104966025,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
HELLWEGER Michael,Michael Hellweger,5979.0,Italy,True,False,False,232,1498.5768763977749,1198.9551611584034,1225.0015549202308,1244.711054400485,1545.84789492445,1319.116521242641,1614.5488159807903,1274.70851442635,1562.6109116534444,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
GISSELMAN Truls,Truls Gisselman,12782.0,Sweden,True,False,False,232,1429.400456046408,1428.0244899722554,1386.1854807946934,1369.1650503615158,1314.3877087120668,1324.914724910138,1288.49211393338,1400.7476382636005,1368.8562052556626,6,False,6,1.0,,,,,
MRKONJIC Lukas,Lukas Mrkonjic,9689.0,Austria,True,False,False,231,1488.8155813746796,1265.4057741443626,1268.73808301096,1233.101093756004,1532.7895879443247,1330.8763967011962,1542.5918748066265,1296.769594388813,1501.2463166554887,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
PEPENE Paul Constantin,Paul Constantin Pepene,219.0,Romania,True,False,False,231,1231.6492968176176,1309.4152528071322,1283.9347623416115,1309.8953549293835,1120.697144442595,1271.0660944776814,1108.9130295988891,1280.9239846955834,1242.7001902667894,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
GLEDHILL Gabriel,Gabriel Gledhill,14200.0,Great Britain,True,False,False,231,1219.7605809103052,1234.8903298346297,1285.4097156168714,1248.8784335303646,1212.7764851655063,1235.5221518238016,1230.3415503165108,1246.7625953154702,1238.4730796242757,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
SOSSAU-DAUBERMANN Anian,Anian Sossau,9340.0,Germany,True,False,False,230,1441.907195754176,1504.9052361335696,1269.304822931769,1445.1942474930916,1296.0289193567846,1274.628865826831,1339.7043114682149,1229.5957726296415,1498.279124889995,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
SELLES GASCH Bernat,Bernat Selles Gasch,17556.0,Spain,True,False,False,230,1135.4673700250942,1272.3539132900155,1270.0260093769489,1233.101093756004,1187.9502975274409,1255.5279153273084,1194.5987039828872,1209.0880241291932,1153.7311524399995,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
DAPRA Simone,Simone Dapra,6019.0,Italy,True,False,False,229,1590.4222455600925,1586.433481353664,1347.5764595010146,1501.2923765315888,1316.9776311551598,1322.7924154196755,1298.0440927907282,1357.122968181371,1558.8053996698625,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
BABA Naoto,Naoto Baba,5186.0,Japan,True,False,False,229,1413.0375467410431,1404.6441094561787,1320.359571641008,1399.1284114962812,1139.4419958336264,1156.0437779909057,1165.337015445905,1316.5495170252343,1400.8275618039777,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
CLUGNET James,James Clugnet,3615.0,Great Britain,True,False,False,229,1339.7994682679598,1250.7757356570407,1181.1144827065798,1259.6126259353243,1524.5032985792975,1239.9898845931405,1604.9687025765809,1186.700441497493,1342.0134567636703,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
NAEFF Isai,Isai Näff,18916.0,Switzerland,True,False,False,229,1285.855200536643,1223.3156621493497,1242.849746455109,1247.5377251949242,1471.9607625226888,1460.2265968763622,1381.369168403811,1475.9248271519343,1241.97628564151,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
ERIKSSON Jonas,Jonas Eriksson,5590.0,Sweden,True,False,False,229,1284.6999600237748,1279.829822266801,1313.881625453355,1257.499790291263,1233.1667346381155,1231.3956037511944,1234.1987494727805,1313.8201403556122,1257.6271549296048,6,False,6,1.0,,,,,
NAEFF Noe,Noe Näff,19984.0,Switzerland,True,False,False,229,1219.5771051053362,1228.3156621493497,1242.849746455109,1250.8710585282574,1307.690121871938,1293.2803937520966,1302.3282554609966,1291.5106331177149,1217.5073825919517,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
DREMLJUGA Karl Sebastian,Karl Sebastian Dremljuga,12667.0,Estonia,True,False,False,228,1378.7362086695312,1220.426890604964,1242.849746455109,1233.101093756004,1423.0082908825823,1296.332183937652,1426.1772482127972,1276.3670761677365,1386.5926497851965,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
CHANLOUNG Mark,Mark Chanloung,5172.0,Thailand,True,False,False,227,907.1218055003798,921.1268674853412,1030.3174949551126,1023.3592253519014,1079.5822015810231,1127.766574742537,1131.0176680923046,970.8066479142929,963.0557097367878,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
FOETTINGER Michael,Michael Föttinger,5978.0,Austria,True,False,False,226,1337.6031621503714,1139.305077406012,1240.1816272862154,1179.8742332268616,1479.9967115313902,1455.907405372923,1422.4567772015469,1430.9054405023758,1313.4504150143953,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
STEPHEN Thomas,Thomas Stephen,12678.0,Canada,True,False,False,226,1285.7493943622662,1290.262693262613,1302.2901301161914,1271.365104589403,1288.2713789794675,1231.3956037511944,1282.8356887800169,1303.3071812165033,1262.1243245420117,5,False,5,1.0,,,,,
DEYANOV Simeon,Simeon Deyanov,1664.0,Bulgaria,True,False,False,226,1128.8706605092273,1146.5391187393618,1213.834722268128,1173.3392819521828,1182.7845067449284,1190.593602546222,1192.9177944985452,1158.277402848678,1144.0146915335415,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
BRUGGER Janosch,Janosch Brugger,3657.0,Germany,True,False,False,225,1532.326342127929,1549.5491596390466,1522.9279613230992,1471.914831927097,1308.372481921058,1290.2097735825992,1292.936788661855,1379.4965897515442,1538.8647065070436,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KOIVISTO Petteri,Petteri Koivisto,8104.0,Finland,True,False,False,225,1304.404561061414,1301.1765064588767,1353.6105482746116,1264.3858847133447,1274.5345786050789,1264.372765143626,1234.1987494727805,1350.2338735478,1268.2273008025572,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
TUZ Jiri,Jiri Tuz,17348.0,Czechia,True,False,False,224,1537.7742737741712,1453.4825296800873,1409.8411198808794,1369.339663797703,1627.4291811592027,1517.2535793249428,1545.2267001887465,1539.3306790487225,1514.0619342047976,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
VENTURA Paolo,Paolo Ventura,6009.0,Italy,True,False,False,224,1478.3689477542423,1476.607520488375,1364.0980243693912,1430.6026999679614,1133.7159571814789,1207.1966926733364,1123.4012155660096,1364.1974046345722,1475.9070915095351,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
ESTEVE ALTIMIRAS Ireneu,Irineu Esteve Altimiras,3632.0,Andorra,True,False,False,224,1441.807763794459,1445.336898572944,1411.5431533706512,1401.3018886890102,1115.6886089461732,1190.0471174414374,1121.1151773546123,1409.2227565685632,1421.2276907436526,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
HOLLMANN Max,Max Hollmann,18737.0,Canada,True,False,False,224,1279.413510016739,1286.383088621136,1282.6546584062626,1309.34384135521,1266.4808769306794,1268.5369015549345,1281.4106136066337,1269.168679549536,1306.3955336885758,5,False,5,1.0,,,,,
SCHELY Theo,Theo Schely,12166.0,France,True,False,False,222,1409.393377483505,1451.1525338574031,1420.0447715304524,1359.0588698170377,1360.8936728547174,1351.098914884678,1345.976404153952,1406.8318083357874,1364.2162122884629,6,False,6,1.0,,,,,
HIROSE Ryo,Ryo Hirose,12172.0,Japan,True,False,False,222,1316.235021855401,1310.1013978556566,1342.3067874013843,1315.0119613481731,1243.3385811228757,1280.5541621803077,1236.1891378237349,1342.9879925353127,1313.3102786677111,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
RITCHIE Graham,Graham Ritchie,9217.0,Canada,True,False,False,221,1316.7432724397977,1247.6429583832878,1238.679028550839,1251.0626988774177,1373.8166240165615,1357.7519720260088,1372.855582367669,1324.1585895526068,1307.1010955781474,5,False,5,1.0,,,,,
ANTTOLA Niko,Niko Anttola,17474.0,Finland,True,False,False,220,1711.778735949581,1709.360915456651,1497.58678649199,1583.2079028615558,1337.7586713077685,1330.1541621803076,1318.1777180056044,1505.5771377947672,1676.4671439927488,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MOILANEN Niilo,Niilo Moilanen,12446.0,Finland,True,False,False,220,1617.537632357884,1209.049156848071,1231.598646358481,1256.6661450372312,1661.4736255103544,1564.5081020119203,1582.229157548177,1538.158067102942,1529.1085444286075,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MCKEEVER Xavier,Xavier McKeever,12676.0,Canada,True,False,False,220,1369.9428436513365,1300.5164602896798,1330.9790764112338,1212.7200893632637,1399.5520698184357,1366.320321403714,1366.178666164957,1367.411022296429,1289.7613027107188,5,False,5,1.0,,,,,
GANNER Tobias,Tobias Ganner,19084.0,Austria,True,False,False,220,1311.241300171345,1332.7801319512498,1321.119038963349,1344.2614517022307,1277.880822262856,1261.5403941175127,1270.47051471871,1231.1215362799076,1362.4595208620203,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
STAREGA Maciej,Maciej Starega,139.0,Poland,True,False,False,220,1082.26402922728,983.4933461123736,1122.9751453936385,1052.113047532131,1361.6016548207367,1319.581485652095,1386.9955632013805,1288.293625626198,1077.1683276113024,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
NOTZ Florian,Florian Notz,1488.0,Germany,True,False,False,219,1719.6677167180685,1720.3059038060703,1367.4372188105672,1616.3853496130505,1090.340686187045,1135.6540116076897,1074.4556873192091,1377.4138524148896,1694.5062520077072,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
STOELBEN Jan,Jan Stölben,14033.0,Germany,True,False,False,219,1504.7533764639568,1448.1737441028108,1284.8474783883944,1392.3837192099843,1535.8763715329958,1415.5347745791023,1553.321953055088,1380.5058177377914,1502.2212782727884,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
YOUNG Andrew,Andrew Young,1642.0,Great Britain,True,False,False,219,1435.044251172545,1442.1620048836114,1278.8202307963788,1418.4993828568363,1324.3619348069035,1301.3217440957012,1333.1094014399146,1283.287402929554,1444.3925563658015,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
COLELL PANTEBRE Marc,Marc Colell Pantebre,17552.0,Spain,True,False,False,219,1370.8831205786555,1220.426890604964,1242.849746455109,1233.101093756004,1406.6259645498103,1231.3956037511944,1413.4157931833242,1226.7866150998934,1372.9427415846164,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
DAVIES Joe,Joe Davies,14110.0,Great Britain,True,False,False,218,1585.5352822586908,1587.606186132948,1290.2436073818426,1509.895679507886,1233.1667346381155,1231.3956037511944,1234.1987494727805,1293.6270090085752,1584.829588142444,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
BOURDIN Remi,Remi Bourdin,17445.0,France,True,False,False,218,1573.8547229309402,1583.6527344729293,1492.523143288416,1459.15340553761,1524.6367656206075,1314.9999952507849,1580.8545149313345,1335.9980459585604,1592.2918077338384,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
WIGGER Nicola,Nicola Wigger,12697.0,Switzerland,True,False,False,218,1390.308312609653,1390.6301344757874,1315.203416474881,1346.939894522831,1286.1333668629838,1231.3956037511944,1278.4031338060167,1322.82647657073,1383.8720814651012,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
FROMMELT Robin,Robin Frommelt,12795.0,Liechtenstein,True,False,False,218,1168.6391739641451,1237.7483906440164,1274.7722012069737,1272.897889983588,1213.052417811373,1266.366207946767,1207.5163839195966,1244.568483813445,1193.641515808202,2,False,2,1.0,,,,,
CERNY Ondrej,Ondrej Cerny,8094.0,Czechia,True,False,False,217,1613.343383859146,1220.426890604964,1242.849746455109,1233.101093756004,1643.1938019450283,1582.2914713158964,1480.817062087854,1581.5734137269712,1444.374319943058,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
