Date,City,Country,Event,HillSize,RaceType,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,Length1,Length2,Points,Age,Exp
2012-03-03,Zao,Japan,World Cup,100,Normal,0,2012,11,L,5,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",87.5,,45.0,16.331279945242983,12
2012-03-03,Zao,Japan,World Cup,100,Normal,0,2012,10,L,22,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",81.5,85.5,9.0,16.331279945242983,13
2012-03-04,Zao,Japan,World Cup,100,Normal,0,2012,12,L,7,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",84.0,88.5,36.0,16.334017796030118,14
2012-03-09,Midtstubakken,Norway,World Cup,106,Normal,0,2012,13,L,15,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",93.0,83.0,16.0,16.347707049965777,15
2012-11-24,Lillehammer,Norway,World Cup,100,Normal,0,2013,1,L,7,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",98.0,92.0,36.0,17.059548254620122,16
2012-12-08,Sochi,Russia,World Cup,106,Normal,0,2013,2,L,4,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",102.0,97.5,50.0,17.097878165639973,17
2012-12-09,Sochi,Russia,World Cup,106,Normal,0,2013,3,L,1,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",98.5,92.0,100.0,17.100616016427104,18
2012-12-14,Ramsau,Austria,World Cup,98,Normal,0,2013,4,L,2,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",86.5,93.0,80.0,17.114305270362767,19
2013-01-05,Schonach,Germany,World Cup,106,Normal,0,2013,5,L,12,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",86.0,90.0,22.0,17.17453798767967,20
2013-01-06,Schonach,Germany,World Cup,106,Normal,0,2013,6,L,3,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",97.5,90.0,60.0,17.1772758384668,21
2013-01-12,Hinterzarten,Germany,World Cup,108,Normal,0,2013,7,L,3,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",97.5,97.5,60.0,17.193702943189596,22
2013-01-13,Hinterzarten,Germany,World Cup,108,Normal,0,2013,8,L,6,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",100.5,95.5,40.0,17.196440793976727,23
2013-02-02,Sapporo,Japan,World Cup,100,Normal,0,2013,9,L,1,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",93.0,,100.0,17.25119780971937,24
2013-02-03,Sapporo,Japan,World Cup,100,Normal,0,2013,10,L,5,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",86.5,94.0,45.0,17.253935660506503,25
2013-02-16,Ljubno,Slovenia,World Cup,95,Normal,0,2013,13,L,3,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",84.0,84.0,60.0,17.28952772073922,26
2013-02-17,Ljubno,Slovenia,World Cup,95,Normal,0,2013,14,L,2,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",87.0,87.0,80.0,17.29226557152635,27
2013-02-22,Predazzo,Italy,World Championship,106,Normal,0,2013,15,L,4,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",102.0,95.5,229.5,17.305954825462013,28
2013-03-15,Trondheim,Norway,World Cup,105,Normal,0,2013,16,L,6,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",93.0,97.5,40.0,17.363449691991786,29
2013-03-17,Holmenkollen,Norway,World Cup,134,Large,0,2013,17,L,4,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",120.5,124.0,50.0,17.36892539356605,30
2013-12-07,Lillehammer,Norway,World Cup,100,Normal,0,2014,1,L,8,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",95.0,95.5,32.0,18.094455852156056,31
2013-12-21,Hinterzarten,Germany,World Cup,108,Normal,0,2014,2,L,15,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",93.0,91.5,16.0,18.132785763175907,32
2013-12-22,Hinterzarten,Germany,World Cup,108,Normal,0,2014,3,L,19,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",85.0,90.0,12.0,18.135523613963038,33
2014-01-03,Chaikovsky,Russia,World Cup,106,Normal,0,2014,4,L,4,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",93.5,95.0,50.0,18.168377823408623,34
2014-01-04,Chaikovsky,Russia,World Cup,106,Normal,0,2014,5,L,5,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",100.0,97.0,45.0,18.171115674195757,35
2014-01-11,Sapporo,Japan,World Cup,100,Normal,0,2014,6,L,6,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",88.5,88.0,40.0,18.19028062970568,36
2014-01-12,Sapporo,Japan,World Cup,100,Normal,0,2014,7,L,2,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",90.0,91.0,80.0,18.193018480492814,37
2014-01-25,Planica,Slovenia,World Cup,95,Normal,0,2014,10,L,8,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",91.0,94.0,32.0,18.22861054072553,38
2014-01-26,Planica,Slovenia,World Cup,95,Normal,0,2014,11,L,7,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",98.0,95.0,36.0,18.23134839151266,39
2014-02-11,Sochi,Russia,Olympic Winter Games,106,Normal,0,2014,14,L,3,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",99.5,97.5,245.2,18.275154004106774,40
2014-03-01,Rasnov,Romania,World Cup,100,Normal,0,2014,15,L,9,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",91.0,87.0,29.0,18.324435318275153,41
2014-03-02,Rasnov,Romania,World Cup,100,Normal,0,2014,16,L,14,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",79.0,88.5,18.0,18.327173169062284,42
2014-03-08,Holmenkollen,Norway,World Cup,134,Large,0,2014,17,L,16,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",116.0,106.0,15.0,18.34360027378508,43
2014-03-15,Falun,Sweden,World Cup,100,Normal,0,2014,18,L,10,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",83.5,85.0,26.0,18.362765229295004,44
2014-03-22,Planica,Slovenia,World Cup,139,Large,0,2014,19,L,12,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",116.0,120.5,22.0,18.38193018480493,45
2014-12-05,Lillehammer,Norway,World Cup,100,Normal,0,2015,1,L,16,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",87.0,90.0,15.0,19.08829568788501,46
2015-01-10,Sapporo,Japan,World Cup,100,Normal,0,2015,2,L,18,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",85.5,82.0,13.0,19.186858316221766,47
2015-01-11,Sapporo,Japan,World Cup,100,Normal,0,2015,3,L,14,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",84.0,90.0,18.0,19.189596167008897,48
2015-01-18,Zao,Japan,World Cup,100,Normal,0,2015,4,L,18,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",85.0,,13.0,19.208761122518823,49
2015-01-24,Oberstdorf,Germany,World Cup,106,Normal,0,2015,5,L,13,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",89.5,84.5,20.0,19.225188227241617,50
2015-01-25,Oberstdorf,Germany,World Cup,106,Normal,0,2015,6,L,19,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",82.0,82.5,12.0,19.227926078028748,51
2015-02-01,Hinzenbach,Austria,World Cup,94,Normal,0,2015,8,L,22,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",84.0,83.5,9.0,19.247091033538673,52
2015-02-07,Rasnov,Romania,World Cup,100,Normal,0,2015,9,L,15,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",89.0,86.0,16.0,19.263518138261464,53
2015-02-08,Rasnov,Romania,World Cup,100,Normal,0,2015,10,L,25,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",81.0,,6.0,19.266255989048595,54
2015-02-14,Ljubno,Slovenia,World Cup,95,Normal,0,2015,11,L,29,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",81.0,78.5,2.0,19.28268309377139,55
2015-02-15,Ljubno,Slovenia,World Cup,95,Normal,0,2015,12,L,32,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",79.5,,101.3,19.28542094455852,56
2015-02-19,Falun,Sweden,World Championship,100,Normal,0,2015,13,L,27,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",81.0,82.5,190.9,19.29637234770705,57
2015-03-13,Holmenkollen,Norway,World Cup,134,Large,0,2015,14,L,27,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",106.0,104.5,4.0,19.356605065023956,58
2015-12-04,Lillehammer,Norway,World Cup,100,Normal,0,2016,1,L,35,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",79.5,,86.2,20.084873374401095,59
2015-12-12,Nizhny Tagil,Russia,World Cup,100,Normal,0,2016,2,L,26,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",85.0,86.5,5.0,20.10677618069815,60
2015-12-13,Nizhny Tagil,Russia,World Cup,100,Normal,0,2016,3,L,27,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",78.0,87.0,4.0,20.109514031485283,61
2016-01-16,Sapporo,Japan,World Cup,100,Normal,0,2016,4,L,23,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",82.5,79.0,8.0,20.202600958247775,62
2016-01-17,Sapporo,Japan,World Cup,100,Normal,0,2016,5,L,37,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",73.5,,78.8,20.205338809034906,63
2016-01-22,Zao,Japan,World Cup,100,Normal,0,2016,6,L,27,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",88.5,,4.0,20.21902806297057,64
2016-01-23,Zao,Japan,World Cup,100,Normal,0,2016,7,L,29,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",84.5,82.5,2.0,20.2217659137577,65
2016-01-31,Oberstdorf,Germany,World Cup,106,Normal,0,2016,9,L,27,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",88.0,83.5,4.0,20.243668720054757,66
2016-02-07,Hinzenbach,Austria,World Cup,94,Normal,0,2016,12,L,31,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",81.0,,99.2,20.262833675564682,67
2016-02-13,Ljubno,Slovenia,World Cup,95,Normal,0,2016,13,L,26,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",83.5,78.5,5.0,20.279260780287473,68
2016-02-14,Ljubno,Slovenia,World Cup,95,Normal,0,2016,14,L,28,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",81.5,81.0,3.0,20.281998631074607,69
2016-02-19,Lahti,Finland,World Cup,100,Normal,0,2016,15,L,25,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",78.0,84.5,6.0,20.295687885010267,70
2016-02-27,Almaty,Kazakhstan,World Cup,106,Normal,0,2016,16,L,32,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",86.0,,93.2,20.317590691307323,71
2016-02-28,Almaty,Kazakhstan,World Cup,106,Normal,0,2016,17,L,29,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",85.5,89.5,2.0,20.320328542094455,72
2016-12-02,Lillehammer,Norway,World Cup,100,Normal,0,2017,1,L,18,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",83.5,86.5,13.0,21.08145106091718,73
2016-12-03,Lillehammer,Norway,World Cup,100,Normal,0,2017,2,L,21,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",80.5,86.5,10.0,21.084188911704313,74
2016-12-10,Nizhny Tagil,Russia,World Cup,100,Normal,0,2017,3,L,7,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",89.0,90.5,36.0,21.103353867214235,75
2016-12-11,Nizhny Tagil,Russia,World Cup,100,Normal,0,2017,4,L,25,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",82.0,82.0,6.0,21.10609171800137,76
2017-01-21,Zao,Japan,World Cup,106,Normal,0,2017,10,L,39,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",76.5,,64.8,21.218343600273784,77
2017-01-28,Rasnov,Romania,World Cup,100,Normal,0,2017,11,L,37,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",73.0,,74.2,21.23750855578371,78
2017-01-29,Rasnov,Romania,World Cup,100,Normal,0,2017,12,L,29,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",81.0,79.0,2.0,21.24024640657084,79
2017-02-04,Hinzenbach,Austria,World Cup,94,Normal,0,2017,13,L,30,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",73.5,68.0,1.0,21.256673511293634,80
2017-02-05,Hinzenbach,Austria,World Cup,94,Normal,0,2017,14,L,31,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",73.5,,85.1,21.259411362080765,81
2017-02-11,Ljubno,Slovenia,World Cup,95,Normal,0,2017,15,L,39,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",76.0,,87.5,21.27583846680356,82
2017-02-12,Ljubno,Slovenia,World Cup,95,Normal,0,2017,16,L,39,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",76.5,,81.6,21.27857631759069,83
2017-02-15,PyeongChang,South Korea,World Cup,109,Normal,0,2017,17,L,24,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",78.0,73.0,7.0,21.286789869952088,84
2017-02-16,PyeongChang,South Korea,World Cup,109,Normal,0,2017,18,L,28,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",63.0,73.0,3.0,21.28952772073922,85
2018-01-21,Zao,Japan,World Cup,106,Normal,0,2018,10,L,47,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",60.5,,49.5,22.217659137577,86
2011-02-25,Midtstubakken,Norway,World Championship,106,Normal,0,2011,1,L,9,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",88.0,92.0,185.1,21.034907597535934,1
2011-12-03,Lillehammer,Norway,World Cup,100,Normal,0,2012,1,L,3,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",88.5,93.0,60.0,21.804243668720055,2
2012-01-07,Hinterzarten,Germany,World Cup,108,Normal,0,2012,2,L,22,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",85.0,,9.0,21.900068446269678,3
2012-01-08,Hinterzarten,Germany,World Cup,108,Normal,0,2012,3,L,9,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",95.0,91.5,29.0,21.90280629705681,4
2012-01-14,Predazzo,Italy,World Cup,106,Normal,0,2012,4,L,11,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",98.5,92.5,24.0,21.919233401779604,5
2012-01-15,Predazzo,Italy,World Cup,106,Normal,0,2012,5,L,5,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",98.0,95.0,45.0,21.921971252566735,6
2012-02-04,Hinzenbach,Austria,World Cup,94,Normal,0,2012,6,L,11,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",83.5,,24.0,21.976728268309376,7
2012-02-05,Hinzenbach,Austria,World Cup,94,Normal,0,2012,7,L,11,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",83.0,86.0,24.0,21.979466119096507,8
2012-02-11,Ljubno,Slovenia,World Cup,95,Normal,0,2012,8,L,6,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",86.5,84.0,40.0,21.9958932238193,9
2012-02-12,Ljubno,Slovenia,World Cup,95,Normal,0,2012,9,L,6,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",85.5,80.5,40.0,21.998631074606433,10
2012-03-03,Zao,Japan,World Cup,100,Normal,0,2012,11,L,14,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",83.5,,18.0,22.053388090349074,11
2012-03-03,Zao,Japan,World Cup,100,Normal,0,2012,10,L,4,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",97.5,92.0,50.0,22.053388090349074,12
2012-03-04,Zao,Japan,World Cup,100,Normal,0,2012,12,L,13,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",80.0,91.5,20.0,22.05612594113621,13
2012-03-09,Midtstubakken,Norway,World Cup,106,Normal,0,2012,13,L,10,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",95.5,94.5,26.0,22.069815195071868,14
2012-11-24,Lillehammer,Norway,World Cup,100,Normal,0,2013,1,L,38,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",85.5,,102.1,22.781656399726213,15
2012-12-08,Sochi,Russia,World Cup,106,Normal,0,2013,2,L,29,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",89.5,85.5,2.0,22.819986310746064,16
2012-12-09,Sochi,Russia,World Cup,106,Normal,0,2013,3,L,33,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",87.5,,94.1,22.822724161533195,17
2013-01-05,Schonach,Germany,World Cup,106,Normal,0,2013,5,L,14,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",85.5,88.0,18.0,22.89664613278576,18
2013-01-06,Schonach,Germany,World Cup,106,Normal,0,2013,6,L,15,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",91.5,87.5,16.0,22.899383983572896,19
2013-01-12,Hinterzarten,Germany,World Cup,108,Normal,0,2013,7,L,26,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",86.5,89.5,5.0,22.915811088295687,20
2013-01-13,Hinterzarten,Germany,World Cup,108,Normal,0,2013,8,L,25,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",85.5,89.0,6.0,22.918548939082818,21
2013-02-02,Sapporo,Japan,World Cup,100,Normal,0,2013,9,L,37,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",77.5,,73.3,22.973305954825463,22
2013-02-03,Sapporo,Japan,World Cup,100,Normal,0,2013,10,L,38,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",70.0,,71.8,22.976043805612594,23
2013-02-10,Zao,Japan,World Cup,100,Normal,0,2013,11,L,22,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",81.0,82.5,9.0,22.99520876112252,25
2013-02-10,Zao,Japan,World Cup,100,Normal,0,2013,12,L,25,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",80.0,77.5,6.0,22.99520876112252,24
2013-02-16,Ljubno,Slovenia,World Cup,95,Normal,0,2013,13,L,14,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",77.0,79.0,18.0,23.01163586584531,26
2013-02-17,Ljubno,Slovenia,World Cup,95,Normal,0,2013,14,L,15,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",82.5,83.0,16.0,23.014373716632445,27
2013-03-15,Trondheim,Norway,World Cup,105,Normal,0,2013,16,L,24,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",89.0,90.0,7.0,23.085557837097877,28
2013-03-17,Holmenkollen,Norway,World Cup,134,Large,0,2013,17,L,23,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",114.0,107.0,8.0,23.091033538672143,29
2013-12-21,Hinterzarten,Germany,World Cup,108,Normal,0,2014,2,L,33,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",91.0,,101.3,23.854893908281998,30
2013-12-22,Hinterzarten,Germany,World Cup,108,Normal,0,2014,3,L,33,Melanie Faißt,Germany,100,1990-02-12T00:00:00.000000,0,"",77.0,,87.3,23.85763175906913,31
2012-03-03,Zao,Japan,World Cup,100,Normal,0,2012,10,L,34,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",79.5,,83.7,29.021218343600275,1
2012-03-04,Zao,Japan,World Cup,100,Normal,0,2012,12,L,37,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",75.0,,71.0,29.023956194387406,2
2013-01-05,Schonach,Germany,World Cup,106,Normal,0,2013,5,L,37,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",79.5,,78.7,29.864476386036962,3
2013-01-06,Schonach,Germany,World Cup,106,Normal,0,2013,6,L,42,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",85.5,,85.0,29.867214236824093,4
2013-01-12,Hinterzarten,Germany,World Cup,108,Normal,0,2013,7,L,29,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",86.0,87.5,2.0,29.883641341546884,5
2013-01-13,Hinterzarten,Germany,World Cup,108,Normal,0,2013,8,L,23,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",90.0,86.5,8.0,29.88637919233402,6
2013-02-02,Sapporo,Japan,World Cup,100,Normal,0,2013,9,L,32,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",82.0,,83.0,29.94113620807666,7
2013-02-03,Sapporo,Japan,World Cup,100,Normal,0,2013,10,L,35,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",75.0,,82.3,29.94387405886379,8
2013-02-10,Zao,Japan,World Cup,100,Normal,0,2013,11,L,29,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",77.0,78.5,2.0,29.963039014373717,9
2013-12-21,Hinterzarten,Germany,World Cup,108,Normal,0,2014,2,L,37,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",89.0,,97.1,30.822724161533195,10
2013-12-22,Hinterzarten,Germany,World Cup,108,Normal,0,2014,3,L,46,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",88.0,,65.0,30.82546201232033,11
2014-01-11,Sapporo,Japan,World Cup,100,Normal,0,2014,6,L,38,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",75.0,,82.5,30.88021902806297,12
2014-01-18,Zao,Japan,World Cup,100,Normal,0,2014,8,L,18,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",80.5,,13.0,30.899383983572896,13
2014-01-19,Zao,Japan,World Cup,100,Normal,0,2014,9,L,36,Seiko Koasa,Japan,101,1983-02-24T00:00:00.000000,0,"",72.0,,70.9,30.902121834360027,14
2011-02-25,Midtstubakken,Norway,World Championship,106,Normal,0,2011,1,L,30,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",83.0,73.5,135.5,19.994524298425734,1
2011-12-03,Lillehammer,Norway,World Cup,100,Normal,0,2012,1,L,41,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",74.0,,93.0,20.763860369609855,2
2012-01-07,Hinterzarten,Germany,World Cup,108,Normal,0,2012,2,L,43,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",75.0,,67.2,20.859685147159478,3
2012-01-08,Hinterzarten,Germany,World Cup,108,Normal,0,2012,3,L,45,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",71.0,,56.9,20.862422997946613,4
2012-02-04,Hinzenbach,Austria,World Cup,94,Normal,0,2012,6,L,38,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",77.5,,85.3,20.93634496919918,5
2012-02-05,Hinzenbach,Austria,World Cup,94,Normal,0,2012,7,L,44,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",70.5,,78.0,20.93908281998631,6
2012-02-11,Ljubno,Slovenia,World Cup,95,Normal,0,2012,8,L,38,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",69.5,,79.9,20.9555099247091,7
2012-02-12,Ljubno,Slovenia,World Cup,95,Normal,0,2012,9,L,41,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",67.5,,69.0,20.958247775496236,8
2012-11-24,Lillehammer,Norway,World Cup,100,Normal,0,2013,1,L,25,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",90.5,87.5,6.0,21.741273100616016,9
2012-12-08,Sochi,Russia,World Cup,106,Normal,0,2013,2,L,39,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",92.5,,86.3,21.779603011635867,10
2012-12-09,Sochi,Russia,World Cup,106,Normal,0,2013,3,L,8,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",92.0,90.0,32.0,21.782340862423,11
2012-12-14,Ramsau,Austria,World Cup,98,Normal,0,2013,4,L,9,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",84.5,86.0,29.0,21.796030116358658,12
2013-01-05,Schonach,Germany,World Cup,106,Normal,0,2013,5,L,23,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",85.5,88.5,8.0,21.856262833675565,13
2013-01-06,Schonach,Germany,World Cup,106,Normal,0,2013,6,L,20,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",89.5,85.5,11.0,21.859000684462696,14
2013-01-12,Hinterzarten,Germany,World Cup,108,Normal,0,2013,7,L,16,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",94.5,92.0,15.0,21.87542778918549,15
2013-01-13,Hinterzarten,Germany,World Cup,108,Normal,0,2013,8,L,17,Anja Tepes,Slovenia,102,1991-02-27T00:00:00.000000,0,"",93.5,89.5,14.0,21.87816563997262,16
